id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pengunjung,satuan,tahun
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2015
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2015
31,32,JAWA BARAT,3205,KABUPATEN GARUT,82329,ORANG,2015
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2015
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1200,ORANG,2015
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14930,ORANG,2015
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2015
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2015
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2015
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2015
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,6780,ORANG,2015
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2015
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,250,ORANG,2015
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2015
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19011,ORANG,2015
44,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,19356,ORANG,2015
45,32,JAWA BARAT,3271,KOTA BOGOR,42883,ORANG,2015
46,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2015
47,32,JAWA BARAT,3273,KOTA BANDUNG,124408,ORANG,2015
48,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2015
49,32,JAWA BARAT,3275,KOTA BEKASI,2037027,ORANG,2015
50,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2015
51,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2015
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2015
53,32,JAWA BARAT,3279,KOTA BANJAR,3132,ORANG,2015
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,12900,ORANG,2016
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19011,ORANG,2016
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2000,ORANG,2016
57,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2016
58,32,JAWA BARAT,3205,KABUPATEN GARUT,1744,ORANG,2016
59,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2016
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12663,ORANG,2016
61,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82329,ORANG,2016
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2016
63,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,500,ORANG,2016
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,612,ORANG,2016
65,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2016
66,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2016
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2016
68,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15571,ORANG,2016
69,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2016
70,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2016
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
72,32,JAWA BARAT,3271,KOTA BOGOR,421676,ORANG,2016
73,32,JAWA BARAT,3272,KOTA SUKABUMI,3132,ORANG,2016
74,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2016
75,32,JAWA BARAT,3274,KOTA CIREBON,40564,ORANG,2016
76,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2016
77,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2016
78,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2016
79,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2016
80,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2016
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,9099,ORANG,2017
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1013,ORANG,2017
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2000,ORANG,2017
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2017
85,32,JAWA BARAT,3205,KABUPATEN GARUT,1744,ORANG,2017
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2017
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2017
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82329,ORANG,2017
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2017
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,500,ORANG,2017
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,814,ORANG,2017
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,441,ORANG,2017
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,139,ORANG,2017
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2017
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8867,ORANG,2017
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2017
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2017
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2017
99,32,JAWA BARAT,3271,KOTA BOGOR,421676,ORANG,2017
100,32,JAWA BARAT,3272,KOTA SUKABUMI,3132,ORANG,2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2017
102,32,JAWA BARAT,3274,KOTA CIREBON,5802,ORANG,2017
103,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2017
104,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2017
105,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2017
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2017
107,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2017
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2018
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1260,ORANG,2018
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2018
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2018
112,32,JAWA BARAT,3205,KABUPATEN GARUT,550,ORANG,2018
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48,ORANG,2018
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2018
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2018
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2018
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1096,ORANG,2018
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2018
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,764,ORANG,2018
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,7540,ORANG,2018
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2771,ORANG,2018
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11932,ORANG,2018
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2018
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2018
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2018
126,32,JAWA BARAT,3271,KOTA BOGOR,254627,ORANG,2018
127,32,JAWA BARAT,3272,KOTA SUKABUMI,1000,ORANG,2018
128,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2018
129,32,JAWA BARAT,3274,KOTA CIREBON,12920,ORANG,2018
130,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2018
131,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2018
132,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2018
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2018
134,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2019
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2790,ORANG,2019
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2019
139,32,JAWA BARAT,3205,KABUPATEN GARUT,350,ORANG,2019
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70,ORANG,2019
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120,ORANG,2019
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15876,ORANG,2019
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,700,ORANG,2019
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,385,ORANG,2019
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,612,ORANG,2019
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1115,ORANG,2019
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,5270,ORANG,2019
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17531,ORANG,2019
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,27832,ORANG,2019
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2019
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
153,32,JAWA BARAT,3271,KOTA BOGOR,119900,ORANG,2019
154,32,JAWA BARAT,3272,KOTA SUKABUMI,2240,ORANG,2019
155,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2019
156,32,JAWA BARAT,3274,KOTA CIREBON,22324,ORANG,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2019
158,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2019
159,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2019
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
161,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2019
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2020
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1865,ORANG,2020
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2020
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2020
166,32,JAWA BARAT,3205,KABUPATEN GARUT,15,ORANG,2020
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35,ORANG,2020
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,220,ORANG,2020
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,29449,ORANG,2020
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,700,ORANG,2020
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,431,ORANG,2020
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50,ORANG,2020
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6686,ORANG,2020
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2020
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,28,ORANG,2020
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12780,ORANG,2020
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2020
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2020
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2020
180,32,JAWA BARAT,3271,KOTA BOGOR,120000,ORANG,2020
181,32,JAWA BARAT,3272,KOTA SUKABUMI,2240,ORANG,2020
182,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2020
183,32,JAWA BARAT,3274,KOTA CIREBON,22927,ORANG,2020
184,32,JAWA BARAT,3275,KOTA BEKASI,400,ORANG,2020
185,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2020
186,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2020
187,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2020
188,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2020
